0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,10,23,29,33,37,40
0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,9,13,21,25,32,42
0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,2,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,11,16,19,21,27,31
0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,1,0,2,0,1,0,1,0,2,0,1,1,2,1,1,0,0,0,1,0,0,2,0,2,0,0,0,14,27,30,31,40,42
0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,2,0,0,1,0,2,0,1,1,1,0,2,0,2,1,2,1,1,0,0,0,1,0,0,3,1,3,0,0,0,16,24,29,40,41,42
0,0,0,0,0,0,0,0,1,1,1,0,1,2,1,2,0,0,1,0,2,0,1,1,1,1,3,0,2,1,2,1,1,0,0,0,1,0,0,4,1,4,0,0,0,14,15,26,27,40,42
0,1,0,0,0,0,0,0,2,1,1,0,1,2,1,3,0,0,1,0,2,0,1,1,2,2,3,0,2,1,2,1,1,0,0,0,1,0,0,5,1,4,0,0,0,2,9,16,25,26,40
0,1,0,0,0,0,0,1,2,1,1,0,1,2,1,3,0,0,2,0,2,0,1,1,3,2,3,0,2,1,2,1,1,1,0,0,2,0,1,5,1,4,0,0,0,8,19,25,34,37,39
0,2,0,1,0,0,0,1,2,1,1,0,1,2,1,4,1,0,2,0,2,0,1,1,3,2,3,0,2,1,2,1,1,1,0,1,2,0,2,5,1,4,0,0,0,2,4,16,17,36,39
0,2,0,1,0,0,0,1,3,1,1,0,1,2,1,4,1,0,2,0,2,0,1,1,4,2,3,0,2,2,2,1,2,1,0,1,2,0,2,5,2,4,0,1,0,9,25,30,33,41,44
1,2,0,1,0,0,1,1,3,1,1,0,1,2,1,4,1,0,2,0,2,0,1,1,4,2,3,0,2,2,2,1,2,1,0,2,3,0,2,5,3,5,0,1,0,1,7,36,37,41,42
1,3,0,1,0,0,1,1,3,1,2,0,1,2,1,4,1,0,2,0,3,0,1,1,5,2,3,0,2,2,2,1,2,1,0,2,3,0,3,5,3,5,0,1,1,2,11,21,25,39,45
1,3,0,1,0,0,1,1,3,1,2,0,1,2,1,4,1,0,2,0,3,1,2,1,6,2,3,0,2,2,2,1,2,1,0,2,4,1,3,5,3,6,0,1,1,22,23,25,37,38,42
1,4,0,1,0,1,1,1,3,1,2,1,1,2,1,4,1,0,2,0,3,1,2,1,6,2,3,0,2,2,3,1,3,1,0,2,4,1,3,6,3,6,0,1,1,2,6,12,31,33,40
1,4,1,2,0,1,1,1,3,1,2,1,1,2,1,5,1,0,2,0,3,1,2,1,6,2,3,0,2,3,4,1,3,1,0,2,5,1,3,6,3,6,0,1,1,3,4,16,30,31,37
1,4,1,2,0,2,2,1,3,1,2,1,1,2,1,5,1,0,2,0,3,1,2,2,6,2,3,0,2,3,4,1,3,1,0,2,6,2,3,7,3,6,0,1,1,6,7,24,37,38,40
1,4,2,3,0,2,2,1,4,1,2,1,1,2,1,5,2,0,2,0,3,1,2,2,6,2,3,0,2,3,4,2,3,1,0,2,7,2,3,7,3,6,0,1,1,3,4,9,17,32,37
1,4,3,3,0,2,2,1,4,1,2,2,2,2,1,5,2,0,3,0,3,1,2,2,6,2,3,0,2,3,4,3,3,1,1,2,7,2,3,7,3,6,0,1,1,3,12,13,19,32,35
1,4,3,3,0,3,2,1,4,1,2,2,2,2,1,5,2,0,3,0,3,1,2,2,6,2,3,0,2,4,4,3,3,1,1,2,7,3,4,8,3,6,1,1,1,6,30,38,39,40,43
1,4,3,3,0,3,2,1,4,2,2,2,2,3,1,5,2,1,3,1,3,1,3,2,6,2,3,0,2,5,4,3,3,1,1,2,7,3,4,8,3,6,1,1,1,10,14,18,20,23,30
1,4,3,3,0,4,2,1,4,2,2,3,2,3,1,5,3,2,3,1,3,1,3,2,6,2,3,0,2,5,5,4,3,1,1,2,7,3,4,8,3,6,1,1,1,6,12,17,18,31,32
1,4,3,4,1,5,2,2,4,2,2,3,2,3,1,5,4,2,3,1,3,1,3,2,6,2,3,0,2,5,5,4,3,1,1,2,7,3,5,8,3,6,1,1,1,4,5,6,8,17,39
1,4,3,4,2,5,2,2,4,2,2,3,3,3,1,5,5,3,3,1,3,1,3,2,6,2,3,0,2,5,5,4,4,1,1,2,7,3,5,8,3,7,1,1,1,5,13,17,18,33,42
1,4,3,4,2,5,3,3,4,2,2,3,3,3,1,5,5,3,3,1,3,1,3,2,6,2,4,0,3,5,5,4,4,1,1,3,7,3,5,8,3,7,2,1,1,7,8,27,29,36,43
1,5,3,5,2,5,3,3,4,2,2,3,3,3,1,5,5,3,3,1,4,1,3,2,6,3,4,0,3,5,5,4,4,1,1,3,7,3,5,8,3,7,3,2,1,2,4,21,26,43,44
